data_source,game_key,turn,player_seat,posterior_marginal,posterior_joint,n_cand_marginal,n_cand_joint,n_constrained_others
hanab_live,1757365,47,1,0,0,1,1,3
hanab_live,1757365,52,0,0.666666666667,0.5,3,3,4
hanab_live,1757365,54,0,0.5,0,2,1,4
hanab_live,1757365,56,0,0,0,1,1,4
hanab_live,1757365,58,0,0,0,1,1,4
hanab_live,1757366,2,0,0,0,5,5,4
hanab_live,1757366,4,0,0.181818181818,0.181818181818,5,5,4
hanab_live,1757366,7,1,0.181818181818,0.181818181818,4,4,4
hanab_live,1757366,8,0,0.333333333333,0.333333333333,5,5,4
hanab_live,1757366,9,1,0.4,0.4,4,4,3
hanab_live,1757366,12,0,0.777777777778,0.733333333333,5,5,4
hanab_live,1757366,14,0,0.6,0.666666666667,3,3,4
hanab_live,1757366,18,0,0.6,0.5,3,2,4
hanab_live,1757366,20,0,0.625,0.625,4,4,4
hanab_live,1757366,21,1,0.5,0.5,2,2,3
hanab_live,1757366,26,0,0.166666666667,0.166666666667,4,4,4
hanab_live,1757366,29,1,0.75,0.75,3,3,4
hanab_live,1757366,31,1,0.714285714286,0.714285714286,5,5,4
hanab_live,1757366,43,1,0.75,0.666666666667,4,4,4
hanab_live,1757366,45,1,0.6,0.6,3,3,4
hanab_live,1757366,48,0,0.75,0.75,4,4,4
hanab_live,1757367,2,0,0,0,5,5,4
hanab_live,1757367,3,1,0.166666666667,0.166666666667,5,5,4
hanab_live,1757367,4,0,0.307692307692,0.307692307692,5,5,3
hanab_live,1757367,8,0,0.772727272727,0.772727272727,15,15,4
hanab_live,1757367,10,0,0.809523809524,0.809523809524,15,15,4
hanab_live,1757367,14,0,0.625,0.625,4,4,4
hanab_live,1757367,15,1,0.809523809524,0.809523809524,16,16,4
hanab_live,1757367,17,1,0.6,0.6,3,3,4
hanab_live,1757367,18,0,0,0,1,1,3
hanab_live,1757367,19,1,0.5,0.5,3,3,3
hanab_live,1757367,20,0,0,0,1,1,2
hanab_live,1757367,21,1,0,0,1,1,2
hanab_live,1757367,22,0,0.631578947368,0.633333333333,13,13,1
hanab_live,1757367,24,0,0.681818181818,0.685714285714,16,16,4
hanab_live,1757367,27,1,0.666666666667,0.666666666667,15,15,4
hanab_live,1757367,29,1,0.5,0.5,2,2,3
hanab_live,1757367,34,0,0,0,1,1,4
hanab_live,1757367,36,0,0.692307692308,0.69696969697,9,9,4
hanab_live,1757367,38,0,0.6,0.6,4,4,4
hanab_live,1757367,42,0,0.25,0.25,3,3,4
hanab_live,1757367,45,1,0.769230769231,0.769230769231,13,13,4
hanab_live,1757367,47,1,0.833333333333,0.827160493827,11,11,4
hanab_live,1757367,49,1,0.777777777778,0.791666666667,9,9,4
hanab_live,1757367,50,0,0,0,1,1,4
hanab_live,1757367,51,1,0.666666666667,0.666666666667,3,3,3
hanab_live,1757367,52,0,0,0,1,1,3
hanab_live,1757367,54,0,0,0,1,1,2
hanab_live,1757368,2,0,0.7,0.7,5,5,4
hanab_live,1757368,3,1,0.181818181818,0.181818181818,5,5,4
hanab_live,1757368,4,0,0.75,0.75,5,5,3
hanab_live,1757368,18,0,0,0,1,1,4
